,annee,patho_niv1,patho_niv2,patho_niv3,top,comorbidite,libelle_comorbidite,region,dept,Ncomorb,Ntop,Proportion_comorb,patho_niv2_comorb,patho_niv3_comorb,patho_niv1_comorb,Niveau prioritaire
412,2019,Insuffisance rénale chronique terminale,Dialyse chronique,Dialyse chronique,IRT_DCH_CAT,RES_CAT_EXC,Maladies respiratoires chroniques (hors mucoviscidose),99,999,9530.0,54240.0,0.175717,Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),"2,3"
422,2019,Insuffisance rénale chronique terminale,Dialyse chronique,Dialyse chronique,IRT_DCH_CAT,CAN_BPU_SUR,Cancer bronchopulmonaire sous surveillance,99,999,260.0,54240.0,0.004739,Cancer bronchopulmonaire,Cancer bronchopulmonaire sous surveillance,Cancers,"2,3"
440,2019,Insuffisance rénale chronique terminale,Suivi de transplantation rénale,Suivi de transplantation rénale,IRT_TRE_CHR,MCV_EPU_IND,Embolie pulmonaire,99,999,110.0,39870.0,0.002835,Embolie pulmonaire,Embolie pulmonaire,Maladies cardioneurovasculaires,"2,3"
441,2019,Insuffisance rénale chronique terminale,Transplantation rénale,Transplantation rénale,IRT_TRE_AIG,CAN_BPU_SUR,Cancer bronchopulmonaire sous surveillance,99,999,,3470.0,,Cancer bronchopulmonaire,Cancer bronchopulmonaire sous surveillance,Cancers,"2,3"
473,2019,Maladies cardioneurovasculaires,,,MCV_CAT_CAT,CAN_BPU_ACT,Cancer bronchopulmonaire actif,99,999,40620.0,5133290.0,0.007913,Cancer bronchopulmonaire,Cancer bronchopulmonaire actif,Cancers,1
486,2019,Maladies cardioneurovasculaires,Accident vasculaire cérébral,,MCV_AVC_CAT,CAN_BPU_ACT,Cancer bronchopulmonaire actif,99,999,6670.0,951780.0,0.007005,Cancer bronchopulmonaire,Cancer bronchopulmonaire actif,Cancers,2
489,2019,Maladies cardioneurovasculaires,Accident vasculaire cérébral,,MCV_AVC_CAT,CAN_BPU_SUR,Cancer bronchopulmonaire sous surveillance,99,999,3580.0,951780.0,0.003758,Cancer bronchopulmonaire,Cancer bronchopulmonaire sous surveillance,Cancers,2
490,2019,Maladies cardioneurovasculaires,Accident vasculaire cérébral,,MCV_AVC_CAT,MCV_EPU_IND,Embolie pulmonaire,99,999,3560.0,951780.0,0.00374,Embolie pulmonaire,Embolie pulmonaire,Maladies cardioneurovasculaires,2
507,2019,Maladies cardioneurovasculaires,Accident vasculaire cérébral,Accident vasculaire cérébral aigu,MCV_AVC_AIG,CAN_BPU_ACT,Cancer bronchopulmonaire actif,99,999,1100.0,123400.0,0.00889,Cancer bronchopulmonaire,Cancer bronchopulmonaire actif,Cancers,3
509,2019,Maladies cardioneurovasculaires,Accident vasculaire cérébral,Accident vasculaire cérébral aigu,MCV_AVC_AIG,MCV_EPU_IND,Embolie pulmonaire,99,999,700.0,123400.0,0.005681,Embolie pulmonaire,Embolie pulmonaire,Maladies cardioneurovasculaires,3
510,2019,Maladies cardioneurovasculaires,Accident vasculaire cérébral,Accident vasculaire cérébral aigu,MCV_AVC_AIG,CAN_BPU_SUR,Cancer bronchopulmonaire sous surveillance,99,999,480.0,123400.0,0.003914,Cancer bronchopulmonaire,Cancer bronchopulmonaire sous surveillance,Cancers,3
529,2019,Maladies cardioneurovasculaires,Accident vasculaire cérébral,Séquelle d'accident vasculaire cérébral,MCV_AVC_CHR,CAN_BPU_ACT,Cancer bronchopulmonaire actif,99,999,5570.0,828380.0,0.006724,Cancer bronchopulmonaire,Cancer bronchopulmonaire actif,Cancers,3
532,2019,Maladies cardioneurovasculaires,Accident vasculaire cérébral,Séquelle d'accident vasculaire cérébral,MCV_AVC_CHR,MCV_EPU_IND,Embolie pulmonaire,99,999,2860.0,828380.0,0.003451,Embolie pulmonaire,Embolie pulmonaire,Maladies cardioneurovasculaires,3
537,2019,Maladies cardioneurovasculaires,Artériopathie périphérique,Artériopathie périphérique,MCV_APE_IND,RES_CAT_EXC,Maladies respiratoires chroniques (hors mucoviscidose),99,999,149920.0,709290.0,0.211365,Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),"2,3"
558,2019,Maladies cardioneurovasculaires,Autres affections cardiovasculaires,Autres affections cardiovasculaires,MCV_AUT_IND,RES_CAT_EXC,Maladies respiratoires chroniques (hors mucoviscidose),99,999,59420.0,381050.0,0.155929,Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),"2,3"
567,2019,Maladies cardioneurovasculaires,Autres affections cardiovasculaires,Autres affections cardiovasculaires,MCV_AUT_IND,CAN_BPU_SUR,Cancer bronchopulmonaire sous surveillance,99,999,1510.0,381050.0,0.003971,Cancer bronchopulmonaire,Cancer bronchopulmonaire sous surveillance,Cancers,"2,3"
568,2019,Maladies cardioneurovasculaires,Autres affections cardiovasculaires,Autres affections cardiovasculaires,MCV_AUT_IND,MCV_EPU_IND,Embolie pulmonaire,99,999,1210.0,381050.0,0.003168,Embolie pulmonaire,Embolie pulmonaire,Maladies cardioneurovasculaires,"2,3"
577,2019,Maladies cardioneurovasculaires,Embolie pulmonaire,Embolie pulmonaire,MCV_EPU_IND,CAN_BPU_ACT,Cancer bronchopulmonaire actif,99,999,1690.0,44340.0,0.038182,Cancer bronchopulmonaire,Cancer bronchopulmonaire actif,Cancers,"2,3"
624,2019,Maladies cardioneurovasculaires,Insuffisance cardiaque,Insuffisance cardiaque aiguë,MCV_ICA_AIG,CAN_BPU_SUR,Cancer bronchopulmonaire sous surveillance,99,999,1190.0,196040.0,0.00608,Cancer bronchopulmonaire,Cancer bronchopulmonaire sous surveillance,Cancers,3
647,2019,Maladies cardioneurovasculaires,Maladie coronaire,,MCV_SCO_CAT,RES_CAT_EXC,Maladies respiratoires chroniques (hors mucoviscidose),99,999,328610.0,2102740.0,0.156275,Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),2
662,2019,Maladies cardioneurovasculaires,Maladie coronaire,,MCV_SCO_CAT,MCV_EPU_IND,Embolie pulmonaire,99,999,5630.0,2102740.0,0.002677,Embolie pulmonaire,Embolie pulmonaire,Maladies cardioneurovasculaires,2
679,2019,Maladies cardioneurovasculaires,Maladie coronaire,Maladie coronaire chronique,MCV_SCO_CHR,CAN_BPU_ACT,Cancer bronchopulmonaire actif,99,999,14880.0,2000340.0,0.00744,Cancer bronchopulmonaire,Cancer bronchopulmonaire actif,Cancers,3
682,2019,Maladies cardioneurovasculaires,Maladie coronaire,Maladie coronaire chronique,MCV_SCO_CHR,CAN_BPU_SUR,Cancer bronchopulmonaire sous surveillance,99,999,9530.0,2000340.0,0.004764,Cancer bronchopulmonaire,Cancer bronchopulmonaire sous surveillance,Cancers,3
692,2019,Maladies cardioneurovasculaires,Maladie coronaire,Syndrome coronaire aigu,MCV_SCO_AIG,RES_CAT_EXC,Maladies respiratoires chroniques (hors mucoviscidose),99,999,16340.0,102400.0,0.159536,Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),3
702,2019,Maladies cardioneurovasculaires,Maladie coronaire,Syndrome coronaire aigu,MCV_SCO_AIG,MCV_EPU_IND,Embolie pulmonaire,99,999,390.0,102400.0,0.003769,Embolie pulmonaire,Embolie pulmonaire,Maladies cardioneurovasculaires,3
707,2019,Maladies cardioneurovasculaires,Maladie valvulaire,Maladie valvulaire,MCV_MVA_IND,RES_CAT_EXC,Maladies respiratoires chroniques (hors mucoviscidose),99,999,82790.0,458350.0,0.180623,Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),"2,3"
748,2019,Maladies du foie ou du pancréas (hors mucoviscidose),Maladies du foie ou du pancréas (hors mucoviscidose),Maladies du foie ou du pancréas (hors mucoviscidose),MFP_CAT_EXC,RES_CAT_EXC,Maladies respiratoires chroniques (hors mucoviscidose),99,999,85660.0,600950.0,0.142537,Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),"1,2,3"
783,2019,Maladies inflammatoires ou rares ou infection VIH,Infection par le VIH,Infection par le VIH,INF_VIH_IND,RES_CAT_EXC,Maladies respiratoires chroniques (hors mucoviscidose),99,999,10490.0,150550.0,0.069658,Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),"2,3"
816,2019,Maladies inflammatoires ou rares ou infection VIH,Maladies inflammatoires chroniques,,IFL_CAT_CAT,CAN_BPU_ACT,Cancer bronchopulmonaire actif,99,999,3510.0,966410.0,0.003628,Cancer bronchopulmonaire,Cancer bronchopulmonaire actif,Cancers,2
838,2019,Maladies inflammatoires ou rares ou infection VIH,Maladies inflammatoires chroniques,Autres maladies inflammatoires chroniques,IFL_AUT_IND,CAN_BPU_ACT,Cancer bronchopulmonaire actif,99,999,1130.0,220080.0,0.005121,Cancer bronchopulmonaire,Cancer bronchopulmonaire actif,Cancers,3
862,2019,Maladies inflammatoires ou rares ou infection VIH,Maladies inflammatoires chroniques,Maladies inflammatoires chroniques intestinales,IFL_MIC_IND,CAN_BPU_ACT,Cancer bronchopulmonaire actif,99,999,580.0,271730.0,0.00212,Cancer bronchopulmonaire,Cancer bronchopulmonaire actif,Cancers,3
864,2019,Maladies inflammatoires ou rares ou infection VIH,Maladies inflammatoires chroniques,Maladies inflammatoires chroniques intestinales,IFL_MIC_IND,CAN_BPU_SUR,Cancer bronchopulmonaire sous surveillance,99,999,380.0,271730.0,0.001391,Cancer bronchopulmonaire,Cancer bronchopulmonaire sous surveillance,Cancers,3
904,2019,Maladies inflammatoires ou rares ou infection VIH,Maladies inflammatoires chroniques,Spondylarthrite ankylosante ou maladies apparentées,IFL_SPA_IND,CAN_BPU_ACT,Cancer bronchopulmonaire actif,99,999,630.0,228220.0,0.002747,Cancer bronchopulmonaire,Cancer bronchopulmonaire actif,Cancers,3
905,2019,Maladies inflammatoires ou rares ou infection VIH,Maladies inflammatoires chroniques,Spondylarthrite ankylosante ou maladies apparentées,IFL_SPA_IND,MCV_EPU_IND,Embolie pulmonaire,99,999,330.0,228220.0,0.00145,Embolie pulmonaire,Embolie pulmonaire,Maladies cardioneurovasculaires,3
909,2019,Maladies inflammatoires ou rares ou infection VIH,Maladies rares,,RAR_CAT_CAT,RES_CAT_EXC,Maladies respiratoires chroniques (hors mucoviscidose),99,999,17000.0,184590.0,0.092095,Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),2
926,2019,Maladies inflammatoires ou rares ou infection VIH,Maladies rares,Hémophilie ou troubles de l'hémostase graves,RAR_HTH_CAT,RES_CAT_EXC,Maladies respiratoires chroniques (hors mucoviscidose),99,999,5170.0,54410.0,0.094968,Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),3
960,2019,Maladies inflammatoires ou rares ou infection VIH,Maladies rares,Maladies métaboliques héréditaires ou amylose,RAR_MMH_IND,MCV_EPU_IND,Embolie pulmonaire,99,999,200.0,121830.0,0.001658,Embolie pulmonaire,Embolie pulmonaire,Maladies cardioneurovasculaires,3
961,2019,Maladies inflammatoires ou rares ou infection VIH,Maladies rares,Maladies métaboliques héréditaires ou amylose,RAR_MMH_IND,CAN_BPU_SUR,Cancer bronchopulmonaire sous surveillance,99,999,200.0,121830.0,0.001601,Cancer bronchopulmonaire,Cancer bronchopulmonaire sous surveillance,Cancers,3
989,2019,Maladies neurologiques,Autres affections neurologiques,Autres affections neurologiques,NEU_AUT_IND,RES_CAT_EXC,Maladies respiratoires chroniques (hors mucoviscidose),99,999,20140.0,178010.0,0.11315,Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),"2,3"
1000,2019,Maladies neurologiques,Autres affections neurologiques,Autres affections neurologiques,NEU_AUT_IND,CAN_BPU_ACT,Cancer bronchopulmonaire actif,99,999,540.0,178010.0,0.003034,Cancer bronchopulmonaire,Cancer bronchopulmonaire actif,Cancers,"2,3"
1002,2019,Maladies neurologiques,Autres affections neurologiques,Autres affections neurologiques,NEU_AUT_IND,CAN_BPU_SUR,Cancer bronchopulmonaire sous surveillance,99,999,320.0,178010.0,0.00177,Cancer bronchopulmonaire,Cancer bronchopulmonaire sous surveillance,Cancers,"2,3"
1053,2019,Maladies neurologiques,Maladie de Parkinson,Maladie de Parkinson,NEU_PRK_IND,MCV_EPU_IND,Embolie pulmonaire,99,999,1130.0,269300.0,0.0042,Embolie pulmonaire,Embolie pulmonaire,Maladies cardioneurovasculaires,"2,3"
1055,2019,Maladies neurologiques,Maladie de Parkinson,Maladie de Parkinson,NEU_PRK_IND,CAN_BPU_ACT,Cancer bronchopulmonaire actif,99,999,730.0,269300.0,0.002703,Cancer bronchopulmonaire,Cancer bronchopulmonaire actif,Cancers,"2,3"
1075,2019,Maladies neurologiques,Myopathie ou myasthénie,Myopathie ou myasthénie,NEU_MMY_IND,MCV_EPU_IND,Embolie pulmonaire,99,999,120.0,49090.0,0.002424,Embolie pulmonaire,Embolie pulmonaire,Maladies cardioneurovasculaires,"2,3"
1090,2019,Maladies neurologiques,Sclérose en plaques,Sclérose en plaques,NEU_SEP_IND,CAN_BPU_ACT,Cancer bronchopulmonaire actif,99,999,200.0,114640.0,0.001701,Cancer bronchopulmonaire,Cancer bronchopulmonaire actif,Cancers,"2,3"
1091,2019,Maladies neurologiques,Sclérose en plaques,Sclérose en plaques,NEU_SEP_IND,MCV_EPU_IND,Embolie pulmonaire,99,999,160.0,114640.0,0.00137,Embolie pulmonaire,Embolie pulmonaire,Maladies cardioneurovasculaires,"2,3"
1092,2019,Maladies neurologiques,Sclérose en plaques,Sclérose en plaques,NEU_SEP_IND,CAN_BPU_SUR,Cancer bronchopulmonaire sous surveillance,99,999,110.0,114640.0,0.000968,Cancer bronchopulmonaire,Cancer bronchopulmonaire sous surveillance,Cancers,"2,3"
1096,2019,Maladies neurologiques,Épilepsie,Épilepsie,NEU_EPI_IND,RES_CAT_EXC,Maladies respiratoires chroniques (hors mucoviscidose),99,999,50990.0,501010.0,0.101782,Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),"2,3"
1108,2019,Maladies neurologiques,Épilepsie,Épilepsie,NEU_EPI_IND,CAN_BPU_SUR,Cancer bronchopulmonaire sous surveillance,99,999,1470.0,501010.0,0.00294,Cancer bronchopulmonaire,Cancer bronchopulmonaire sous surveillance,Cancers,"2,3"
1113,2019,Maladies psychiatriques,,,PSY_CAT_CAT,RES_CAT_EXC,Maladies respiratoires chroniques (hors mucoviscidose),99,999,340280.0,2776510.0,0.122555,Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),1
1124,2019,Maladies psychiatriques,,,PSY_CAT_CAT,CAN_BPU_SUR,Cancer bronchopulmonaire sous surveillance,99,999,6420.0,2776510.0,0.002312,Cancer bronchopulmonaire,Cancer bronchopulmonaire sous surveillance,Cancers,1
1142,2019,Maladies psychiatriques,Autres troubles psychiatriques,Autres troubles psychiatriques,PSY_AUT_IND,CAN_BPU_SUR,Cancer bronchopulmonaire sous surveillance,99,999,850.0,434950.0,0.001957,Cancer bronchopulmonaire,Cancer bronchopulmonaire sous surveillance,Cancers,"2,3"
1163,2019,Maladies psychiatriques,Déficience mentale,Déficience mentale,PSY_DME_IND,CAN_BPU_SUR,Cancer bronchopulmonaire sous surveillance,99,999,30.0,137670.0,0.000247,Cancer bronchopulmonaire,Cancer bronchopulmonaire sous surveillance,Cancers,"2,3"
1188,2019,Maladies psychiatriques,Troubles névrotiques et de l'humeur,Troubles névrotiques et de l'humeur,PSY_TNH_CAT,RES_CAT_EXC,Maladies respiratoires chroniques (hors mucoviscidose),99,999,178530.0,1399550.0,0.127561,Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),"2,3"
1200,2019,Maladies psychiatriques,Troubles névrotiques et de l'humeur,Troubles névrotiques et de l'humeur,PSY_TNH_CAT,MCV_EPU_IND,Embolie pulmonaire,99,999,4020.0,1399550.0,0.002874,Embolie pulmonaire,Embolie pulmonaire,Maladies cardioneurovasculaires,"2,3"
1204,2019,Maladies psychiatriques,Troubles psychiatriques débutant dans l'enfance,Troubles psychiatriques débutant dans l'enfance,PSY_ENF_IND,RES_CAT_EXC,Maladies respiratoires chroniques (hors mucoviscidose),99,999,11530.0,198110.0,0.058185,Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),Maladies respiratoires chroniques (hors mucoviscidose),"2,3"
1218,2019,Maladies psychiatriques,Troubles psychiatriques débutant dans l'enfance,Troubles psychiatriques débutant dans l'enfance,PSY_ENF_IND,MCV_EPU_IND,Embolie pulmonaire,99,999,40.0,198110.0,0.000222,Embolie pulmonaire,Embolie pulmonaire,Maladies cardioneurovasculaires,"2,3"
1220,2019,Maladies psychiatriques,Troubles psychiatriques débutant dans l'enfance,Troubles psychiatriques débutant dans l'enfance,PSY_ENF_IND,CAN_BPU_ACT,Cancer bronchopulmonaire actif,99,999,40.0,198110.0,0.000177,Cancer bronchopulmonaire,Cancer bronchopulmonaire actif,Cancers,"2,3"
1223,2019,Maladies psychiatriques,Troubles psychiatriques débutant dans l'enfance,Troubles psychiatriques débutant dans l'enfance,PSY_ENF_IND,CAN_BPU_SUR,Cancer bronchopulmonaire sous surveillance,99,999,20.0,198110.0,9.1e-05,Cancer bronchopulmonaire,Cancer bronchopulmonaire sous surveillance,Cancers,"2,3"
1273,2019,Maternité (avec ou sans pathologies),Maternité (avec ou sans pathologies),Maternité (avec ou sans pathologies),MAT_CAT_INC,MCV_EPU_IND,Embolie pulmonaire,99,999,390.0,1258830.0,0.000312,Embolie pulmonaire,Embolie pulmonaire,Maladies cardioneurovasculaires,"1,2,3"
1279,2019,Maternité (avec ou sans pathologies),Maternité (avec ou sans pathologies),Maternité (avec ou sans pathologies),MAT_CAT_INC,CAN_BPU_ACT,Cancer bronchopulmonaire actif,99,999,30.0,1258830.0,2.5e-05,Cancer bronchopulmonaire,Cancer bronchopulmonaire actif,Cancers,"1,2,3"
1333,2019,Traitements du risque vasculaire (hors pathologies),,,TFC_CAT_EXC,CAN_BPU_ACT,Cancer bronchopulmonaire actif,99,999,20420.0,8387240.0,0.002434,Cancer bronchopulmonaire,Cancer bronchopulmonaire actif,Cancers,1
1335,2019,Traitements du risque vasculaire (hors pathologies),,,TFC_CAT_EXC,CAN_BPU_SUR,Cancer bronchopulmonaire sous surveillance,99,999,14240.0,8387240.0,0.001697,Cancer bronchopulmonaire,Cancer bronchopulmonaire sous surveillance,Cancers,1
1358,2019,Traitements du risque vasculaire (hors pathologies),Traitements antihypertenseurs (hors pathologies),Traitements antihypertenseurs (hors pathologies),TFC_HTA_EXC,CAN_BPU_SUR,Cancer bronchopulmonaire sous surveillance,99,999,12060.0,7247030.0,0.001665,Cancer bronchopulmonaire,Cancer bronchopulmonaire sous surveillance,Cancers,"2,3"
